zone,url
Aabenraa,https://gis.nst.dk/server/services/ekstern/Aabenraa_Plantrin2/MapServer
Esbjerg,https://gis.nst.dk/server/services/ekstern/Esbjerg_Plantrin2/MapServer
Fredericia,https://gis.nst.dk/server/services/ekstern/Fredericia_Plantrin2/MapServer
Holstebro,https://gis.nst.dk/server/services/ekstern/Holstebro_Plantrin2/MapServer
Juelsminde,https://gis.nst.dk/server/services/ekstern/Juelsminde_Plantrin2/MapServer
Kobenhavn_NS,https://gis.nst.dk/server/services/ekstern/Kobenhavn_NS_Plantrin2/MapServer
Kobenhavn_Nord,https://gis.nst.dk/server/services/ekstern/Koebenhavn_Nord_Plantrin2/MapServer
Kobenhavn_Syd,https://gis.nst.dk/server/services/ekstern/Koebenhavn_Syd_Plantrin2/MapServer
Kolding,https://gis.nst.dk/server/services/ekstern/Kolding_Plantrin2/MapServer
Korsoer,https://gis.nst.dk/server/services/ekstern/Korsoer_Plantrin2/MapServer
Koege,https://gis.nst.dk/server/services/ekstern/Koege_Bugt_Plantrin2/MapServer
Nyborg,https://gis.nst.dk/server/services/ekstern/Nyborg_Plantrin2/MapServer
Odense,https://gis.nst.dk/server/services/ekstern/Odense_Fjord_Plantrin2/MapServer
RandersFjord,https://gis.nst.dk/server/services/ekstern/RandersFjord_Plantrin2/MapServer
Skaerbaek,https://gis.nst.dk/server/services/ekstern/Skaerbaek_Plantrin2/MapServer
Sydlolland,https://gis.nst.dk/server/services/ekstern/Sydlolland_Plantrin2/MapServer
Vejle,https://gis.nst.dk/server/services/ekstern/Vejle_Plantrin2/MapServer
Vordinborg,https://gis.nst.dk/server/services/ekstern/Vordingborg_Plantrin2/MapServer
